KEEP	Andromeda Galaxy (M31)		10	10
MERGE	Leo Systems	Leo (constellation)	10	10
KEEP	Solar System		10	10
KEEP	B-type Star		9	10
KEEP	B[e] Stars		9	10
KEEP	Band Head		9	10
KEEP	Barium Stars		9	10
KEEP	Be or B Emission Line Stars		9	10
DROP	Bethlehem, Star of		9	10
KEEP	Black Hole		9	10
MERGE	Black hole concepts	Black Hole	9	10
MERGE	Black-Hole Entropy	Black Hole	9	10
MERGE	Black-Hole Thermodynamics	Black Hole	9	10
KEEP	Blackbody		9	10
DROP	Blocking  Layer		9	10
MERGE	Blue Halo Stars	Stellar Halo	9	10
MERGE	Bootis Stars	Spectral Classification	9	10
KEEP	Boson		9	10
MERGE	bosons	Boson	9	10
KEEP	Bp Stars		9	10
KEEP	Bp, Ap Stars		9	10
MERGE	Bw Stars	Spectral Classification	9	10
KEEP	C Stars		9	10
MERGE	Calcium Star	Spectral Classification	9	10
KEEP	Canals of Mars		9	10
KEEP	Capture		9	10
MERGE	Carbon Stars	C Stars	9	10
KEEP	Cephei Stars		9	10
DROP	Christening Pluto's Moons		9	10
KEEP	Chromosphere		9	10
KEEP	Cislunar		9	10
KEEP	communications satellite		9	10
KEEP	Coordinate Singularity		9	10
MERGE	Crescent Moon	Phases	9	10
DROP	D-meson		9	10
DROP	Down		9	10
MERGE	Early-Type Emission Stars	Spectral Classification	9	10
KEEP	Earth		9	10
KEEP	Earth impact hazard		9	10
KEEP	Earth satellite		9	10
KEEP	Earth-crossing asteroid		9	10
MERGE	Earthlight	Earthshine	9	10
KEEP	earthshine		9	10
DROP	Eberhardt		9	10
KEEP	eclipsing variable star		9	10
KEEP	Epact		9	10
KEEP	Isobars		9	10
DROP	J Meson		9	10
KEEP	Jet		9	10
KEEP	Jitter		9	10
MERGE	Jovian	Jovian Planet	9	10
DROP	JPL		9	10
KEEP	Juno		9	10
KEEP	Jupiter		9	10
KEEP	K capture		9	10
KEEP	K star		9	10
KEEP	Kerr black hole		9	10
DROP	klystron		9	10
DROP	launch vehicle		9	10
DROP	Lawrencium		9	10
KEEP	Lepus		9	10
DROP	Linear Electron Collider		9	10
MERGE	Luna-Resource	Moon exploration	9	10
KEEP	Lunar Calendar		9	10
KEEP	Lunar Eclipse		9	10
MERGE	Lunar Orbiter	Moon exploration	9	10
DROP	LUT		9	10
KEEP	Lyrae Stars		9	10
KEEP	M Star		9	10
KEEP	Magnetic Stars		9	10
MERGE	Magnitude of a Lunar Eclipse	Lunar Eclipse	9	10
MERGE	magnitude of star	Apparent Magnitude	9	10
KEEP	main sequence of stars		9	10
KEEP	Major Axis		9	10
MERGE	Manganese Stars	Spectral Classification	9	10
KEEP	Mare		9	10
KEEP	Mars		9	10
MERGE	Mars Atmosphere and Volatile Evolution	Mars exploration	9	10
MERGE	Mars Exploration Rover	Mars exploration	9	10
MERGE	Mars Express	Mars exploration	9	10
MERGE	Mars Global Surveyor	Mars exploration	9	10
MERGE	Mars Orbiter Mission	Mars exploration	9	10
MERGE	Mars Pathfinder	Mars exploration	9	10
MERGE	Mars Polar Lander	Mars exploration	9	10
MERGE	Mars Reconnaissance Orbiter	Mars exploration	9	10
KEEP	mascon		9	10
MERGE	Massive Black Hole	Supermassive Black Hole	9	10
DROP	Massless Black Hole		9	10
DROP	Matrix		9	10
KEEP	Me Stars		9	10
MERGE	Mean Sun	Sun	9	10
DROP	Measuring the Earth, Classical and Arabic		9	10
DROP	Measuring the Earth, Modernized		9	10
KEEP	Mensa		9	10
KEEP	Mercury		9	10
DROP	mercury barometer		9	10
DROP	Meson		9	10
KEEP	Metal-Enhanced Star Formation		9	10
KEEP	Metal-Rich Stars		9	10
KEEP	Metal-Weak Stars		9	10
DROP	Micron		9	10
KEEP	midnight Sun		9	10
DROP	Million		9	10
MERGE	Mini Black Holes	Primordial Black Hole	9	10
KEEP	Mizar		9	10
DROP	Monodromy		9	10
DROP	Monotonic		9	10
KEEP	Moon		9	10
MERGE	Moon exploration	Moon	9	10
DROP	Moon Landing: Just the Facts		9	10
DROP	moon worship		9	10
MERGE	Moonrise, Moonset	Moon	9	10
MERGE	Moons	Moon	9	10
MERGE	moons of Pluto	Pluto	9	10
MERGE	MS Stars	Spectral Classification	9	10
KEEP	multimessenger astronomy		9	10
DROP	Muon		9	10
KEEP	N Star		9	10
KEEP	Names of Stars		9	10
MERGE	National Radio Astronomy Observatory	Radio Astronomy	9	10
DROP	NBS		9	10
MERGE	Near Earth Asteroid Rendezvous Shoemaker	Near-Earth Asteroids	9	10
KEEP	Near-Earth Objects		9	10
KEEP	Nearby Stars		9	10
KEEP	Nebular Variable Stars		9	10
KEEP	New Moon		9	10
DROP	NISAR		9	10
DROP	NOAO		9	10
KEEP	Norma		9	10
DROP	Normal		9	10
KEEP	North Star		9	10
KEEP	Nova		9	10
MERGE	Nova Herculis	Nova	9	10
MERGE	Nova Persei	Nova	9	10
KEEP	O Star		9	10
DROP	OAO		9	10
MERGE	Old Stars	Stellar Evolution	9	10
KEEP	Optical Astronomy		9	10
DROP	OVLA		9	10
KEEP	Ozone		9	10
MERGE	P Cyg Stars	P Cygni Star	9	10
KEEP	P Cygni Star		9	10
MERGE	Partial Lunar Eclipse	Lunar Eclipse	9	10
KEEP	Peculiar A Star		9	10
KEEP	Peculiar Stars		9	10
MERGE	Persei stars	Perseus (constellation)	9	10
KEEP	PG 1159 Stars		9	10
MERGE	Photosphere of the Sun	Photosphere	9	10
DROP	PI		9	10
MERGE	Pioneer	Solar System	9	10
KEEP	Pluto		9	10
KEEP	Saros		9	10
KEEP	Saturn		9	10
DROP	Shear		9	10
DROP	Sheath		9	10
DROP	Signature		9	10
DROP	SIN		9	10
MERGE	SNR	Supernova Remnant	9	10
DROP	SNU		9	10
MERGE	Solar	Sun	9	10
